Designator,X,Y,Rotation,Value,Package
BOOT_BUTTON,23.97,108.41,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,159.78,9.74,90.00,100nF,EAGLE-LTSPICE_C0402
C10,45.08,108.32,90.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,93.23,52.58,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,125.78,55.44,270.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,115.83,39.98,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,126.47,42.58,90.00,4.7uF,EAGLE-LTSPICE_C0402
C2,160.96,9.74,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,112.19,54.24,0.00,4.7uF,EAGLE-LTSPICE_C0402
C3,123.46,41.59,90.00,"100uF TANT",RCL_CT3528
C4,98.35,31.00,90.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,155.09,49.06,0.00,100nF,EAGLE-LTSPICE_C0402
C5,67.69,108.32,90.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,155.10,47.86,0.00,4.7uF,EAGLE-LTSPICE_C0402
C6,27.84,108.34,90.00,100nF,EAGLE-LTSPICE_C0402
C7,85.93,22.82,0.00,10uF,EAGLE-LTSPICE_C0402
C8,85.82,48.92,0.00,100nF,EAGLE-LTSPICE_C0402
C9,7.60,100.22,90.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,48.99,108.41,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,116.15,54.45,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,53.61,100.50,90.00,100nF,EAGLE-LTSPICE_C0402
D1,154.58,51.68,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,45.83,29.66,90.00,PGB1010603MR,DIOC1608X36N
D11,50.31,29.66,90.00,PGB1010603MR,DIOC1608X36N
D12,48.69,29.66,90.00,PGB1010603MR,DIOC1608X36N
D2,114.71,43.57,90.00,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,94.73,30.16,0.00,MBR0530,SOD3716X135N
D4,86.67,32.96,0.00,MBR0530,SOD3716X135N
D5,94.71,26.36,0.00,MBR0530,SOD3716X135N
D6,77.78,20.68,0.00,PGB1010603MR,DIOC1608X36N
D7,85.86,64.97,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,12.56,98.38,0.00,PGB1010603MR,DIOC1608X36N
D9,34.65,47.11,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,74.41,17.36,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,89.81,19.58,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,91.79,19.58,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,93.65,19.58,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,75.62,17.36,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,80.39,19.50,90.00,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,82.23,19.56,90.00,1uF/50V,EAGLE-LTSPICE_C0402
